CustomerID,FullName,EmailAddress,Age,PhoneNumber,Address,Married
1,John Henderson,markgonzalez@example.com,59,754.342.4719,"PSC 8767, Box 6111
APO AE 45405",Yes
2,Patricia Roberson,hesternicholas@example.net,48,(464)486-1011x732,"Unit 7234 Box 3031
DPO AE 66422",No
3,Michele Smith,jennifer76@example.org,35,+1-622-999-3243,"47224 Micheal Springs Suite 143
North Ronaldview, PR 94026",Yes
4,John Goodman,yshepherd@example.org,50,001-466-323-9557x894,"762 Jacob Canyon
Aprilborough, IL 97779",No
5,Stephanie Moody,jefflarson@example.com,34,(979)898-9736x828,"64800 Darrell Crossing Suite 667
Whitneybury, SC 92426",Yes
6,Natalie Lin,myersnicole@example.org,35,737-842-6692,"545 Steven Ford
Lorrainechester, MS 40038",Yes
7,Lisa Hill,rgonzales@example.org,53,540.767.6979x156,"PSC 1182, Box 3333
APO AP 56612",No
8,Vanessa Carney,amyjones@example.org,44,+1-646-694-6988x78106,"22857 Carter Motorway
Dannyberg, NM 25668",No
9,Emily Crosby,wardchristina@example.net,38,829.236.9384x83142,"48248 Michael Track
Vincentmouth, IA 10196",Yes
10,Charles Rodriguez,masonmatthew@example.com,37,7826886115,"6989 Thomas Motorway
Simmonsville, OH 20564",No
11,Brenda Farley,xwilliams@example.com,62,559.487.8869x4588,"569 Kelly Pine Suite 630
Wrightside, SD 25395",No
12,Douglas Mckay,calexander@example.net,38,386.900.3623x08921,"165 Cross Shoals Apt. 044
Kimside, VI 13032",No
13,Olivia Jones,kimberly26@example.org,44,(351)388-0712x105,"PSC 3127, Box 7338
APO AA 27942",Yes
14,David Williams,brian16@example.net,35,367.529.6991x871,"648 Raymond Field
Samanthaside, OH 43907",Yes
15,Christina Salazar,jenniferhall@example.net,30,979-969-5348x8173,"6264 Harold Forest Apt. 955
North Scottbury, IL 52964",No
16,Mr. Jesse Williams,jessica93@example.net,33,(718)411-5291x50045,"053 Flores Manors Suite 581
Mackstad, NC 69343",No
17,James Bell,stephensparks@example.net,70,001-327-443-1526x195,"0570 Vega Highway Apt. 718
Williamsland, VI 06525",No
18,Mary Douglas,monicaweaver@example.org,24,001-328-886-7652x355,"768 Tyler Green
Williamsmouth, PW 74983",Yes
