CustomerID,FullName,EmailAddress,Age,PhoneNumber,Address,Married
1,John Miller,qdiaz@example.com,27,001-469-394-5438x4326,"978 Mike Prairie
East Andrew, MI 86590",Yes
2,Joseph Hansen,stacymccoy@example.net,47,(918)681-5656x5608,"97734 Krista Village
Lake Deniseborough, VI 90250",Yes
3,Anne Rogers,dcollins@example.org,53,(558)414-7857x62981,"5103 Pugh Branch
Tonyaland, OH 67379",Yes
4,Stephanie King,kathryn37@example.org,32,001-457-603-0704x32311,"04245 Abbott Glens
Bakerstad, WV 82562",No
5,Jonathan Blackburn,andersonaustin@example.net,26,+1-611-204-4217x69171,"99527 Katrina Light Suite 458
West Priscilla, AL 21291",Yes
6,Cynthia Henry,jensenmichael@example.org,41,222.636.6376x8933,"92709 Henderson Shoals
New Gregorymouth, OH 85307",Yes
7,Jennifer Rogers,ekey@example.org,31,884.765.0874x7096,"61146 Teresa Skyway
Hodgeston, NC 09625",No
8,Kimberly Kennedy,brenda07@example.org,47,(423)998-3385x578,"9275 Katie Street Apt. 835
Chandlerview, NJ 77960",No
9,Jack Gonzalez,trujillosylvia@example.com,34,263-851-8644x223,"710 King Key Suite 060
Howardview, IA 66564",Yes
10,Tina Rhodes,mullinsreginald@example.com,29,001-760-761-9956,"5306 Emily Curve Suite 861
Ortizville, ME 04039",No
11,Marissa Pacheco,ykelley@example.org,26,543-590-1236,"05605 Campbell Groves Suite 978
Amyview, IN 43936",No
12,Laura Huynh,feliciafernandez@example.com,33,001-269-442-2800x495,"04472 Stacey Course Apt. 608
West Darren, WI 17692",No
13,Jason Bowman,paul01@example.com,27,(336)812-4094,"746 Julie Locks Suite 199
New Nicholas, IA 12870",No
14,Kristen Ellis,ucampbell@example.org,31,626-721-7039,"750 Kathleen Forest Apt. 350
Mossside, GA 28553",No
15,Wesley Burns,mark30@example.com,43,(380)578-8826x87647,"910 Sheppard Mount
Jonathanport, GA 66535",Yes
16,Sarah Brock,kyledavis@example.net,27,552.779.0419x217,"051 Padilla Trail
South Kyle, CO 64758",No
17,Robert Garner,christophersherman@example.org,44,986-285-6867x51803,"155 Cummings Isle
Stephanieton, VA 55256",No
18,Kyle Ho,paigeperez@example.com,38,(475)677-2932,"77648 Smith Loop
Port Joshua, IA 19545",Yes
19,Kara Stevens,alejandropena@example.net,18,+1-365-369-5582,"5277 Martin Fort Apt. 808
Lake Marco, NY 81945",Yes
20,Donna Marshall PhD,scottjessica@example.org,54,313.846.6958x98187,"48556 Jesse Path
South Derrick, UT 22934",No
21,Richard Ortiz,deborah45@example.net,35,001-290-448-9829x9025,"9347 Mackenzie Plains
Hopkinsfurt, IL 22060",Yes
22,Linda Holland,cmunoz@example.net,24,001-315-481-4955,"272 Williams Circles
Jamesbury, PR 39893",Yes
23,William Berry,dgoodwin@example.org,18,4579078940,"95804 Orozco Estate Apt. 250
North Lisa, GU 83830",No
24,Amber Fox,karen63@example.net,24,001-941-901-6766x190,"12946 Ward Mill Suite 100
Phillipfort, NV 20746",No
25,Anthony Bowers,owhite@example.org,46,+1-234-387-0678x9291,"50995 Romero Skyway Apt. 972
Carrilloview, PR 21885",No
26,Adam Johns,tonya47@example.org,37,(583)882-4260x90593,"4380 Christopher Overpass
North Kelly, NM 02922",Yes
27,Katie Jimenez,thomaskevin@example.org,27,(388)305-4505x689,"4846 Nicholas Forges Suite 641
Knightchester, ID 94063",No
28,Gregory Shelton,taylor35@example.com,44,001-481-814-7521x10085,"017 Kimberly Islands
Michaelview, AL 49996",No
29,Felicia Anderson,charris@example.com,28,607-828-5570x0465,"396 Santos Throughway Suite 511
Morrisshire, NJ 53409",Yes
30,Kelly Ferguson,brianrogers@example.org,40,+1-836-506-2047,"58564 Hunter Expressway
Joshuafort, MA 59442",No
31,William Ortega,jasonhernandez@example.net,31,+1-712-564-5997x477,"77326 Lisa Springs Apt. 414
East Derekchester, OH 68212",No
32,Morgan Grant,mackmichael@example.org,22,(508)351-8837,"84215 Tiffany Common Apt. 158
Lake Anita, NE 83556",No
33,Todd Patton,mark67@example.net,29,+1-632-878-8199x263,"40429 Estrada Shore
Lake Jillian, KS 19728",Yes
34,Michael Weaver,victoriaramos@example.com,37,+1-605-736-7688x7130,"Unit 3261 Box 7118
DPO AE 71403",Yes
35,Jose Nguyen,landrymarie@example.net,37,+1-670-743-0726x709,"30284 Medina Inlet Suite 983
New Robert, WA 60840",No
36,Stephen Martinez,sandovalclaudia@example.org,43,519-883-4219x960,"5604 David Neck
Robinsonhaven, KS 22608",Yes
37,Anna Russell,john53@example.com,31,001-693-392-0218x347,"49066 Shelley Heights Suite 468
Ginamouth, WA 50047",Yes
38,Edward Roach,janealvarez@example.net,30,945-995-5127,"98611 Thomas Loaf Apt. 727
North Michael, MD 75506",Yes
39,Bryan Tran,murrayangela@example.com,41,9358762451,"0928 Randy Plain
Gabrielletown, IN 80625",Yes
40,Christina Garcia,eric00@example.com,28,902.236.3660,"91058 Roberts Drive
Shanechester, AL 01390",Yes
41,Nicole Winters,kevin26@example.org,18,(320)411-8777x901,"9213 Colon Ridges
Jeromeside, NM 90908",Yes
42,Shawn Mcknight,vfreeman@example.com,25,+1-511-640-0164x2395,"9354 Lara Prairie Apt. 106
Holtton, VT 69966",No
43,Connie Yates,pmanning@example.org,33,+1-814-740-1992,"4448 Wright Junctions
Michaelfort, ME 18214",Yes
44,Meredith Kirby,stephen81@example.org,31,001-855-745-2211,"97699 Jason Walks
Lake Rachelborough, AS 39766",Yes
