CustomerID,FullName,EmailAddress,Age,PhoneNumber,Address,Married,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster
1,John Miller,qdiaz@example.com,27,001-469-394-5438x4326,"978 Mike Prairie
East Andrew, MI 86590",Yes,6.0,1.0,81.6,4.0,1.0,1.0,411.0,2
2,Joseph Hansen,stacymccoy@example.net,47,(918)681-5656x5608,"97734 Krista Village
Lake Deniseborough, VI 90250",Yes,8.0,2.0,392.68,3.0,1.0,1.0,311.0,2
3,Anne Rogers,dcollins@example.org,53,(558)414-7857x62981,"5103 Pugh Branch
Tonyaland, OH 67379",Yes,6.0,3.0,167.82,4.0,1.0,1.0,411.0,2
4,Stephanie King,kathryn37@example.org,32,001-457-603-0704x32311,"04245 Abbott Glens
Bakerstad, WV 82562",No,,,,,,,,0
5,Jonathan Blackburn,andersonaustin@example.net,26,+1-611-204-4217x69171,"99527 Katrina Light Suite 458
West Priscilla, AL 21291",Yes,1.0,5.0,3018.97,4.0,3.0,2.0,432.0,0
6,Cynthia Henry,jensenmichael@example.org,41,222.636.6376x8933,"92709 Henderson Shoals
New Gregorymouth, OH 85307",Yes,10.0,3.0,4975.86,3.0,1.0,3.0,313.0,2
7,Jennifer Rogers,ekey@example.org,31,884.765.0874x7096,"61146 Teresa Skyway
Hodgeston, NC 09625",No,12.0,3.0,389.15,3.0,1.0,1.0,311.0,2
8,Kimberly Kennedy,brenda07@example.org,47,(423)998-3385x578,"9275 Katie Street Apt. 835
Chandlerview, NJ 77960",No,9.0,3.0,1748.21,3.0,1.0,2.0,312.0,2
9,Jack Gonzalez,trujillosylvia@example.com,34,263-851-8644x223,"710 King Key Suite 060
Howardview, IA 66564",Yes,22.0,1.0,478.87,2.0,1.0,1.0,211.0,2
10,Tina Rhodes,mullinsreginald@example.com,29,001-760-761-9956,"5306 Emily Curve Suite 861
Ortizville, ME 04039",No,1.0,8.0,8733.35,4.0,4.0,4.0,444.0,3
11,Marissa Pacheco,ykelley@example.org,26,543-590-1236,"05605 Campbell Groves Suite 978
Amyview, IN 43936",No,2.0,6.0,5435.22,4.0,4.0,3.0,443.0,0
12,Laura Huynh,feliciafernandez@example.com,33,001-269-442-2800x495,"04472 Stacey Course Apt. 608
West Darren, WI 17692",No,4.0,5.0,2020.38,4.0,3.0,2.0,432.0,0
13,Jason Bowman,paul01@example.com,27,(336)812-4094,"746 Julie Locks Suite 199
New Nicholas, IA 12870",No,10.0,3.0,2403.36,3.0,1.0,2.0,312.0,2
14,Kristen Ellis,ucampbell@example.org,31,626-721-7039,"750 Kathleen Forest Apt. 350
Mossside, GA 28553",No,3.0,3.0,828.2,4.0,1.0,1.0,411.0,2
15,Wesley Burns,mark30@example.com,43,(380)578-8826x87647,"910 Sheppard Mount
Jonathanport, GA 66535",Yes,23.0,2.0,455.91,2.0,1.0,1.0,211.0,2
16,Sarah Brock,kyledavis@example.net,27,552.779.0419x217,"051 Padilla Trail
South Kyle, CO 64758",No,4.0,3.0,283.21,4.0,1.0,1.0,411.0,2
17,Robert Garner,christophersherman@example.org,44,986-285-6867x51803,"155 Cummings Isle
Stephanieton, VA 55256",No,6.0,4.0,4537.13,4.0,2.0,3.0,423.0,0
18,Kyle Ho,paigeperez@example.com,38,(475)677-2932,"77648 Smith Loop
Port Joshua, IA 19545",Yes,1.0,3.0,1975.32,4.0,1.0,2.0,412.0,2
19,Kara Stevens,alejandropena@example.net,18,+1-365-369-5582,"5277 Martin Fort Apt. 808
Lake Marco, NY 81945",Yes,16.0,5.0,699.6,2.0,3.0,1.0,231.0,0
20,Donna Marshall PhD,scottjessica@example.org,54,313.846.6958x98187,"48556 Jesse Path
South Derrick, UT 22934",No,28.0,1.0,64.08,2.0,1.0,1.0,211.0,2
21,Richard Ortiz,deborah45@example.net,35,001-290-448-9829x9025,"9347 Mackenzie Plains
Hopkinsfurt, IL 22060",Yes,2.0,2.0,346.34,4.0,1.0,1.0,411.0,2
22,Linda Holland,cmunoz@example.net,24,001-315-481-4955,"272 Williams Circles
Jamesbury, PR 39893",Yes,1.0,3.0,133.22,4.0,1.0,1.0,411.0,2
23,William Berry,dgoodwin@example.org,18,4579078940,"95804 Orozco Estate Apt. 250
North Lisa, GU 83830",No,2.0,4.0,458.64,4.0,2.0,1.0,421.0,0
24,Amber Fox,karen63@example.net,24,001-941-901-6766x190,"12946 Ward Mill Suite 100
Phillipfort, NV 20746",No,6.0,5.0,3605.31,4.0,3.0,3.0,433.0,0
25,Anthony Bowers,owhite@example.org,46,+1-234-387-0678x9291,"50995 Romero Skyway Apt. 972
Carrilloview, PR 21885",No,8.0,5.0,543.3399999999999,3.0,3.0,1.0,331.0,0
26,Adam Johns,tonya47@example.org,37,(583)882-4260x90593,"4380 Christopher Overpass
North Kelly, NM 02922",Yes,6.0,4.0,2123.71,4.0,2.0,2.0,422.0,0
27,Katie Jimenez,thomaskevin@example.org,27,(388)305-4505x689,"4846 Nicholas Forges Suite 641
Knightchester, ID 94063",No,1.0,4.0,2721.96,4.0,2.0,2.0,422.0,0
28,Gregory Shelton,taylor35@example.com,44,001-481-814-7521x10085,"017 Kimberly Islands
Michaelview, AL 49996",No,4.0,6.0,374.31,4.0,4.0,1.0,441.0,0
29,Felicia Anderson,charris@example.com,28,607-828-5570x0465,"396 Santos Throughway Suite 511
Morrisshire, NJ 53409",Yes,3.0,5.0,4325.22,4.0,3.0,3.0,433.0,0
30,Kelly Ferguson,brianrogers@example.org,40,+1-836-506-2047,"58564 Hunter Expressway
Joshuafort, MA 59442",No,8.0,3.0,1803.35,3.0,1.0,2.0,312.0,2
31,William Ortega,jasonhernandez@example.net,31,+1-712-564-5997x477,"77326 Lisa Springs Apt. 414
East Derekchester, OH 68212",No,13.0,3.0,1555.32,3.0,1.0,2.0,312.0,2
32,Morgan Grant,mackmichael@example.org,22,(508)351-8837,"84215 Tiffany Common Apt. 158
Lake Anita, NE 83556",No,5.0,7.0,2540.65,4.0,4.0,2.0,442.0,0
33,Todd Patton,mark67@example.net,29,+1-632-878-8199x263,"40429 Estrada Shore
Lake Jillian, KS 19728",Yes,15.0,6.0,1886.48,3.0,4.0,2.0,342.0,0
34,Michael Weaver,victoriaramos@example.com,37,+1-605-736-7688x7130,"Unit 3261 Box 7118
DPO AE 71403",Yes,7.0,4.0,2159.06,3.0,2.0,2.0,322.0,0
35,Jose Nguyen,landrymarie@example.net,37,+1-670-743-0726x709,"30284 Medina Inlet Suite 983
New Robert, WA 60840",No,6.0,3.0,386.91,4.0,1.0,1.0,411.0,2
36,Stephen Martinez,sandovalclaudia@example.org,43,519-883-4219x960,"5604 David Neck
Robinsonhaven, KS 22608",Yes,16.0,4.0,6657.08,2.0,2.0,4.0,224.0,1
37,Anna Russell,john53@example.com,31,001-693-392-0218x347,"49066 Shelley Heights Suite 468
Ginamouth, WA 50047",Yes,11.0,6.0,825.49,3.0,4.0,1.0,341.0,0
38,Edward Roach,janealvarez@example.net,30,945-995-5127,"98611 Thomas Loaf Apt. 727
North Michael, MD 75506",Yes,14.0,4.0,3388.26,3.0,2.0,3.0,323.0,0
39,Bryan Tran,murrayangela@example.com,41,9358762451,"0928 Randy Plain
Gabrielletown, IN 80625",Yes,1.0,3.0,4871.75,4.0,1.0,3.0,413.0,2
40,Christina Garcia,eric00@example.com,28,902.236.3660,"91058 Roberts Drive
Shanechester, AL 01390",Yes,2.0,6.0,4133.88,4.0,4.0,3.0,443.0,0
41,Nicole Winters,kevin26@example.org,18,(320)411-8777x901,"9213 Colon Ridges
Jeromeside, NM 90908",Yes,18.0,1.0,88.80000000000001,2.0,1.0,1.0,211.0,2
42,Shawn Mcknight,vfreeman@example.com,25,+1-511-640-0164x2395,"9354 Lara Prairie Apt. 106
Holtton, VT 69966",No,7.0,3.0,2128.46,3.0,1.0,2.0,312.0,2
43,Connie Yates,pmanning@example.org,33,+1-814-740-1992,"4448 Wright Junctions
Michaelfort, ME 18214",Yes,5.0,5.0,9493.55,4.0,3.0,4.0,434.0,1
44,Meredith Kirby,stephen81@example.org,31,001-855-745-2211,"97699 Jason Walks
Lake Rachelborough, AS 39766",Yes,4.0,2.0,67.19,4.0,1.0,1.0,411.0,2
45,Derrick Lynch,danielhuang@example.net,23,(822)568-8246x74463,"241 Gina Square Suite 073
Davidtown, RI 71753",Yes,,,,,,,,0
46,John Stokes,randallrobert@example.com,18,001-248-232-4385x75169,"63245 Reyes Forest
New Christine, RI 78408",No,5.0,7.0,1512.97,4.0,4.0,2.0,442.0,0
47,Dale Ross,christy47@example.org,36,6899751905,"Unit 5281 Box 8175
DPO AA 80877",Yes,5.0,5.0,2887.9400000000005,4.0,3.0,2.0,432.0,0
48,Tiffany Rodriguez,ambernelson@example.net,60,9376137960,"00945 Stephanie Cliff
Fletcherchester, HI 85735",Yes,6.0,3.0,1796.41,4.0,1.0,2.0,412.0,2
49,Emily Lynn,qgonzalez@example.net,40,001-369-988-2211x21977,"9001 Mack Burg
North Alyssa, IN 08654",No,15.0,3.0,8242.58,3.0,1.0,4.0,314.0,1
50,April Brown,wheelergina@example.com,36,001-708-420-7146,"18709 Cynthia Stravenue Suite 787
Dennishaven, RI 79772",No,10.0,3.0,2565.86,3.0,1.0,2.0,312.0,2
